index_token,index_sentence,string,pos,lemma,stem,dependency_relation,governor,features,category,syllables,phonetic_transcription,book_num,chapter_num,line_num
10,0,famam,noun,fama,fam,obj,9,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['fa', 'mam']",[famãː],7,\N,2
11,0,",",punctuation,",",",",punct,12,\N,\N,"[',']",\N,7,\N,2
12,0,Caieta,verb,caiio,Caiet,conj,9,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['ca', 'ie', 'ta']",[kajjɛt̪a],7,\N,2
13,0,",",punctuation,",",",",punct,14,\N,\N,"[',']",\N,7,\N,2
14,0,dedisti,verb,do,dedist,root,-1,"{Aspect: [perfective], InflClass: [lat_a], Mood: [indicative], Number: [singular], Person: [first], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['de', 'dis', 'ti']",[d̪ɛd̪ɪst̪ɪ],7,\N,2
15,0,;,punctuation,;,;,punct,14,\N,\N,[';'],\N,7,\N,2
0,1,et,coordinating_conjunction,et,et,cc,2,\N,{F: [pos]},['et'],[ɛt̪],7,\N,3
1,1,nunc,adverb,nunc,nunc,advmod:tmod,2,{AdverbialType: [time]},"{F: [neg], N: [pos], V: [pos]}",['nunc'],[n̪ʊŋk],7,\N,3
2,1,servat,verb,servo,serva,root,-1,"{Aspect: [imperfective], InflClass: [lat_a], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['ser', 'vat']",[sɛrwat̪],7,\N,3
3,1,honos,noun,hono,hon,nsubj,2,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ho', 'nos']",[hɔn̪ɔs],7,\N,3
4,1,sedem,noun,sedes,sed,obj,2,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['se', 'dem']",[sɛd̪ẽː],7,\N,3
5,1,tuus,determiner,tuus,tu,det,4,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular, psor], Person: [psor], Possessive: [pos], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}","['tu', 'us']",[t̪ʊjʊs],7,\N,3
6,1,ossaque,noun,ossaqus,oss,flat,3,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['os', 'sa', 'que']",[ɔssakʷɛ],7,\N,3
7,1,nomen,noun,nomen,nomen,obj,2,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['no', 'men']",[n̪ɔmɛn̪],7,\N,3
8,1,Hesperia,adjective,hesperius,Hesper,amod,7,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['hes', 'pe', 'ri', 'a']",[hɛspɛrɪ̣ja],7,\N,4
9,1,in,adposition,in,in,case,10,\N,"{F: [pos], N: [neg], V: [neg]}",['in'],[ɪn̪],7,\N,4
10,1,magna,adjective,magnus,magn,obl,2,"{Case: [ablative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['mag', 'na']",[maŋn̪a],7,\N,4
11,1,",",punctuation,",",",",punct,12,\N,\N,"[',']",\N,7,\N,4
12,1,siqua,pronoun,siqui,siqu,ccomp,17,"{Case: [nominative], Gender: [feminine], InflClass: [lat_pron], Number: [singular], PronominalType: [relative]}","{F: [pos], N: [pos], V: [neg]}","['si', 'qua']",[sɪkʷa],7,\N,4
13,1,est,auxiliary,sum,est,cop,12,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite]}","{F: [pos], N: [neg], V: [pos]}",['est'],[ɛst̪],7,\N,4
14,1,ea,pronoun,is,e,obl,12,"{Case: [nominative], Gender: [feminine], InflClass: [lat_pron], Number: [singular], Person: [third], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}","['e', 'a']",[ɛ̣ja],7,\N,4
15,1,gloria,noun,gloria,glor,nsubj,12,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['glo', 'ri', 'a']",[glɔrɪ̣ja],7,\N,4
16,1,",",punctuation,",",",",punct,12,\N,\N,"[',']",\N,7,\N,4
17,1,signat,verb,signo,signa,conj,2,"{Aspect: [imperfective], InflClass: [lat_a], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['sig', 'nat']",[sɪŋn̪at̪],7,\N,4
18,1,.,punctuation,.,.,punct,2,\N,\N,['.'],\N,7,\N,4
0,2,At,verb,at,A,root,-1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['at'],[at̪],7,\N,5
1,2,pius,noun,pius,p,nsubj,0,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['pi', 'us']",[pɪ̣jʊs],7,\N,5
2,2,exsequiis,noun,exsequium,exsequi,obl,0,"{Case: [ablative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['ex', 'se', 'quiis']",[ɛkssɛkʷɪ̣jɪs],7,\N,5
3,2,Aeneas,adjective,aeneus,Aene,nsubj,0,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['ae', 'ne', 'as']",[ajn̪ɛ̣jas],7,\N,5
4,2,rite,adverb,rite,rit,advmod,5,\N,"{F: [neg], N: [pos], V: [pos]}","['ri', 'te']",[rɪt̪ɛ],7,\N,5
5,2,solutis,verb,soluo,solut,advcl:abs,0,"{Aspect: [perfective], Case: [ablative], Gender: [neuter], InflClass: [lat_x, nominal], Number: [plural], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['so', 'lu', 'tis']",[sɔlʊt̪ɪs],7,\N,5
6,2,",",punctuation,",",",",punct,7,\N,\N,"[',']",\N,7,\N,5
7,2,aggere,noun,agger,agger,nsubj:pass,5,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ag', 'ge', 're']",[aggɛrɛ],7,\N,6
8,2,composito,noun,compositum,composit,nsubj:pass,5,"{Case: [ablative], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['com', 'po', 'si', 'to']",[kɔmpɔsɪt̪ɔ],7,\N,6
9,2,tumuli,noun,tumulus,tumul,nmod,8,"{Case: [genitive], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['tu', 'mu', 'li']",[t̪ʊmʊlɪ],7,\N,6
10,2,",",punctuation,",",",",punct,13,\N,\N,"[',']",\N,7,\N,6
11,2,postquam,subordinating_conjunction,postquam,postqu,mark,13,{<class 'NoneType'>: [None]},{F: [pos]},"['pos', 'tquam']",[pɔst̪kʷãː],7,\N,6
12,2,alta,adjective,altus,alt,nsubj,13,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [pos]}","['al', 'ta']",[aɫt̪a],7,\N,6
13,2,quierunt,verb,quiero,quieru,advcl,16,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['quie', 'runt']",[kʷɪ̣jɛrʊn̪t̪],7,\N,6
14,2,aequora,noun,aequus,aequor,obj,13,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['ae', 'quo', 'ra']",[ajkʷɔra],7,\N,7
15,2,",",punctuation,",",",",punct,13,\N,\N,"[',']",\N,7,\N,7
16,2,tendit,verb,tendo,tendi,conj,0,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['ten', 'dit']",[t̪ɛn̪d̪ɪt̪],7,\N,7
17,2,iter,noun,iter,ite,obj,18,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['i', 'ter']",[ɪt̪ɛr],7,\N,7
18,2,velis,verb,vigeo,vel,csubj,16,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['ve', 'lis']",[wɛlɪs],7,\N,7
19,2,portumque,noun,portus,port,obj,20,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['por', 'tum', 'que']",[pɔrt̪ʊmkʷɛ],7,\N,7
20,2,relinquit,verb,relinquo,relinqui,conj,16,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['re', 'lin', 'quit']",[rɛlɪŋkʷɪt̪],7,\N,7
21,2,.,punctuation,.,.,punct,0,\N,\N,['.'],\N,7,\N,7
0,3,Adspirant,verb,adspiro,Adspira,root,-1,"{Aspect: [imperfective], InflClass: [lat_a], Mood: [indicative], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['ad', 'spi', 'rant']",[ad̪spɪran̪t̪],7,\N,8
1,3,aurae,noun,aurra,aur,nsubj,0,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['au', 'rae']",[awraj],7,\N,8
2,3,in,adposition,in,in,case,3,\N,"{F: [pos], N: [neg], V: [neg]}",['in'],[ɪn̪],7,\N,8
3,3,noctem,noun,nox,noct,obl:arg,0,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['noc', 'tem']",[n̪ɔkt̪ẽː],7,\N,8
4,3,nec,coordinating_conjunction,nec,nec,cc,8,\N,{F: [pos]},['nec'],[n̪ɛk],7,\N,8
5,3,candida,adjective,candidus,candid,amod,6,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['can', 'di', 'da']",[kan̪d̪ɪd̪a],7,\N,8
6,3,cursus,noun,cursus,curs,nsubj,8,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_u], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['cur', 'sus']",[kʊrsʊs],7,\N,8
7,3,Luna,noun,luna,Lun,nsubj,8,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['lu', 'na']",[lʊn̪a],7,\N,9
8,3,negat,verb,nego,nega,conj,0,"{Aspect: [imperfective], InflClass: [lat_a], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['ne', 'gat']",[n̪ɛgat̪],7,\N,9
9,3,",",punctuation,",",",",punct,10,\N,\N,"[',']",\N,7,\N,9
10,3,splendet,verb,splendeo,splende,conj,0,"{Aspect: [imperfective], InflClass: [lat_e], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['splen', 'det']",[splɛn̪d̪ɛt̪],7,\N,9
11,3,tremulo,adjective,tremulus,tremul,obl:arg,10,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['tre', 'mu', 'lo']",[t̪rɛmʊlɔ],7,\N,9
12,3,sub,adposition,sub,sub,case,13,\N,"{F: [pos], N: [neg], V: [neg]}",['sub'],[sʊb],7,\N,9
13,3,lumine,noun,lumen,lumin,obl,10,"{Case: [ablative], Gender: [neuter], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['lu', 'mi', 'ne']",[lʊmɪn̪ɛ],7,\N,9
14,3,pontus,noun,pontus,pont,nmod,13,"{Case: [genitive], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['pon', 'tus']",[pɔn̪t̪ʊs],7,\N,9
15,3,.,punctuation,.,.,punct,0,\N,\N,['.'],\N,7,\N,9
0,4,Proxima,adjective,proximus,Proxim,nsubj:pass,2,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_a], Number: [plural]}","{F: [neg], N: [pos], V: [pos]}","['pro', 'xi', 'ma']",[prɔksɪma],7,\N,10
1,4,Circaeae,noun,circaea,Circae,nmod,0,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['cir', 'cae', 'ae']",[kɪrkajjaj],7,\N,10
2,4,raduntur,verb,rado,radi,root,-1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['ra', 'dun', 'tur']",[rad̪ʊn̪t̪ʊr],7,\N,10
3,4,litora,noun,litora,litor,nsubj:pass,2,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_x], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['li', 'to', 'ra']",[lɪt̪ɔra],7,\N,10
4,4,terrae,noun,terra,terr,nmod,3,"{Case: [genitive], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ter', 'rae']",[t̪ɛrraj],7,\N,10
5,4,",",punctuation,",",",",punct,6,\N,\N,"[',']",\N,7,\N,10
6,4,dives,adjective,divis,div,conj,2,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['di', 'ves']",[d̪ɪwɛs],7,\N,11
7,4,inaccessos,verb,inaccedo,inaccess,acl,6,"{Aspect: [perfective], Case: [accusative], Gender: [masculine], InflClass: [lat_x, nominal], Number: [plural], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['in', 'ac', 'ces', 'sos']",[ɪn̪akkɛssɔs],7,\N,11
8,4,ubi,subordinating_conjunction,ubi,ubi,mark,13,\N,{F: [pos]},"['u', 'bi']",[ʊbɪ],7,\N,11
9,4,Solis,noun,sol,Sol,nmod,10,"{Case: [genitive], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['so', 'lis']",[sɔlɪs],7,\N,11
10,4,filia,noun,filius,fil,nsubj,13,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['fi', 'li', 'a']",[fɪlɪ̣ja],7,\N,11
11,4,lucos,noun,lux,luc,obj,13,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_x], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['lu', 'cos']",[lʊkɔs],7,\N,11
12,4,adsiduo,adjective,adsiduus,adsidu,amod,11,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['ad', 'si', 'du', 'o']",[ad̪sɪd̪ʊjɔ],7,\N,12
13,4,resonat,verb,resono,resona,advcl,2,"{Aspect: [imperfective], InflClass: [lat_a], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['re', 'so', 'nat']",[rɛsɔn̪at̪],7,\N,12
14,4,cantu,noun,cantus,cant,obl,13,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_u], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['can', 'tu']",[kan̪t̪ʊ],7,\N,12
15,4,tectisque,verb,tectio,tect,acl,14,"{Aspect: [perfective], Case: [ablative], Gender: [neuter], InflClass: [lat_x, nominal], Number: [plural], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['tec', 'tis', 'que']",[t̪ɛkt̪ɪskʷɛ],7,\N,12
16,4,superbis,noun,superbum,superb,obl,17,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['su', 'per', 'bis']",[sʊpɛrbɪs],7,\N,12
17,4,urit,verb,urio,uri,conj,13,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['u', 'rit']",[ʊrɪt̪],7,\N,13
18,4,odoratam,verb,odoro,odorat,acl,19,"{Aspect: [perfective], Case: [accusative], Gender: [feminine], InflClass: [lat_a, nominal], Number: [singular], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['o', 'do', 'ra', 'tam']",[ɔd̪ɔrat̪ãː],7,\N,13
19,4,nocturna,noun,nocturna,nocturn,obj,17,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['noc', 'tur', 'na']",[n̪ɔkt̪ʊrn̪a],7,\N,13
20,4,in,adposition,in,in,case,21,\N,"{F: [pos], N: [neg], V: [neg]}",['in'],[ɪn̪],7,\N,13
21,4,lumina,noun,lumen,lumin,obl,17,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_x], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['lu', 'mi', 'na']",[lʊmɪn̪a],7,\N,13
22,4,cedrum,noun,cedrum,cedr,flat,21,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ce', 'drum']",[kɛd̪rũː],7,\N,13
23,4,",",punctuation,",",",",punct,26,\N,\N,"[',']",\N,7,\N,13
24,4,arguto,noun,argutus,argut,obl,26,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ar', 'gu', 'to']",[argʷt̪ɔ],7,\N,14
25,4,tenuis,noun,tenuis,tenu,obj,26,"{Case: [genitive], Gender: [masculine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['te', 'nu', 'is']",[t̪ɛn̪ujs],7,\N,14
26,4,percurrens,verb,percurro,percurre,advcl,17,"{Aspect: [imperfective], Case: [nominative], Gender: [masculine], InflClass: [lat_x, nominal], Number: [singular], VerbForm: [participle], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['per', 'cur', 'rens']",[pɛrkʊrreːn̪s],7,\N,14
27,4,pectine,adverb,pectine,pectin,advmod,26,\N,"{F: [neg], N: [pos], V: [pos]}","['pec', 'ti', 'ne']",[pɛkt̪ɪn̪ɛ],7,\N,14
28,4,telas,noun,tela,tel,obj,26,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_a], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['te', 'las']",[t̪ɛlas],7,\N,14
29,4,.,punctuation,.,.,punct,2,\N,\N,['.'],\N,7,\N,14
0,5,Hinc,adverb,hinc,Hinc,root,-1,"{AdverbialType: [location], Case: [locative], PronominalType: [demonstrative]}","{F: [neg], N: [pos], V: [pos]}",['hinc'],[hɪŋk],7,\N,15
1,5,exaudiri,verb,exaudio,exaudir,csubj,0,"{Aspect: [imperfective], VerbForm: [infinitive], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['ex', 'au', 'di', 'ri']",[ɛksawd̪ɪrɪ],7,\N,15
2,5,gemitus,noun,gemitus,gemit,nsubj:pass,1,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_u], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['ge', 'mi', 'tus']",[gɛmɪt̪ʊs],7,\N,15
3,5,iraeque,adjective,iraequs,ir,amod,2,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [pos]}","['i', 'rae', 'que']",[ɪrajkʷɛ],7,\N,15
4,5,leonum,noun,leonum,leon,nmod,5,"{Case: [genitive], Gender: [masculine], InflClass: [ind_eur_x], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['le', 'o', 'num']",[lɛ̣jɔn̪ũː],7,\N,15
5,5,vincla,noun,vinclum,vincl,nsubj:pass,1,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['vin', 'cla']",[wɪŋkla],7,\N,16
6,5,recusantum,verb,recuso,recusant,acl,5,"{Aspect: [perfective], Case: [accusative], Gender: [neuter], InflClass: [lat_a, nominal], Number: [singular], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['re', 'cu', 'san', 'tum']",[rɛkʊsan̪t̪ũː],7,\N,16
7,5,et,coordinating_conjunction,et,et,cc,8,\N,{F: [pos]},['et'],[ɛt̪],7,\N,16
8,5,sera,adjective,sera,ser,conj,6,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [pos]}","['se', 'ra']",[sɛra],7,\N,16
9,5,sub,adposition,sub,sub,case,10,\N,"{F: [pos], N: [neg], V: [neg]}",['sub'],[sʊb],7,\N,16
10,5,nocte,noun,nox,noct,obl,6,"{Case: [ablative], Gender: [feminine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['noc', 'te']",[n̪ɔkt̪ɛ],7,\N,16
11,5,rudentum,verb,rudo,rudent,acl,10,"{Aspect: [imperfective], Case: [genitive], Gender: [masculine], InflClass: [lat_e, nominal], Number: [plural], VerbForm: [participle], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['ru', 'den', 'tum']",[rʊd̪ɛn̪t̪ũː],7,\N,16
12,5,",",punctuation,",",",",punct,14,\N,\N,"[',']",\N,7,\N,16
13,5,saetigerique,adverb,saetigerique,saetiger,orphan,14,\N,"{F: [neg], N: [pos], V: [pos]}","['sae', 'ti', 'ge', 'ri', 'que']",[sajt̪ɪgɛrɪkʷɛ],7,\N,17
14,5,sues,noun,sues,su,nsubj,19,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['su', 'es']",[sʊjɛs],7,\N,17
15,5,atque,coordinating_conjunction,atque,atque,cc,17,\N,{F: [pos]},"['at', 'que']",[at̪kʷɛ],7,\N,17
16,5,in,adposition,in,in,case,17,\N,"{F: [pos], N: [neg], V: [neg]}",['in'],[ɪn̪],7,\N,17
17,5,praesaepibus,noun,praesaepus,praesaep,obl,19,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_x], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['prae', 'sae', 'pi', 'bus']",[prajsajpɪbʊs],7,\N,17
18,5,ursi,noun,ursus,urs,obj,19,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['ur', 'si']",[ʊrsɪ],7,\N,17
19,5,saevire,verb,saevio,saevir,conj,1,"{Aspect: [imperfective], VerbForm: [infinitive], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['sae', 'vi', 're']",[sajwɪrɛ],7,\N,18
20,5,ac,coordinating_conjunction,atque,ac,cc,21,\N,{F: [pos]},['ac'],[ak],7,\N,18
21,5,formae,noun,forma,form,conj,14,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['for', 'mae']",[fɔrmaj],7,\N,18
22,5,magnorum,adjective,magnus,magnor,nmod,23,"{Case: [genitive], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [pos]}","['mag', 'no', 'rum']",[maŋn̪ɔrũː],7,\N,18
23,5,ululare,adjective,ulularis,ulular,amod,21,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_i], Number: [plural]}","{F: [neg], N: [pos], V: [pos]}","['u', 'lu', 'la', 're']",[ʊlʊlarɛ],7,\N,18
24,5,luporum,noun,lupus,lupor,nmod,23,"{Case: [genitive], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['lu', 'po', 'rum']",[lʊpɔrũː],7,\N,18
25,5,",",punctuation,",",",",punct,34,\N,\N,"[',']",\N,7,\N,18
